aalborg;Denmark
aarhus;Denmark
aberdeen;England
aberdeen_wa;Washington
akranes;Iceland
akureyri;Iceland
alajarvi;Iceland
alakurtti;Russia
alamogordo;New Mexico
alban;France
albuquerque;New Mexico
amsterdam;Netherlands
ancona;Italy
andorra;Andora
angers;France
antwerp;Belgium
arad;Hungary
are;Sweden
arhus;Denmark
arnhem;Netherlands
artesia;New Mexico
arxangelsk;Russia
astoria;Oregon
augustow;Poland
aurach;Germany
babruysk;Belarus
bacau;Romania
bado;Russia
baiamare;Romania
bakersfield;California
balti;Moldovia
balvi;Romania
baranovichi;Belarus
barcelona;Spain
bari;Italy
barstow;California
basel;Austria
bayonne;France
bbiala;Poland
belfast;England
bellingham;Washington
bend;Oregon
bergen;Norway
berlin;Germany
bern;Switzerland
bialystok;Poland
biatorbagy;Hungary
bicske;Hungary
bilbao;Spain
birmingham;England
birsay;England
blonduos;Iceland
bobolice;Poland
bodajk;Hungary
bologna;Italy
bolungarvik;Iceland
bonn;Germany
bordeaux;France
borgarnes;Iceland
borisoglebsk;Russia
bourges;France
bratislava;Slovakia
brect;Belarus
bremen;Germany
bremerhaven;Germany
brest;France
brno;Czech
broadford;England
brussel;Belgium
bryansk;Russia
bucuresti;Romania
budapest;Hungary
burg;Germany
burns;Oregon
busko;Poland
bydgoszcz;Poland
bystrica;Slovakia
caen;France
cagliari;Italy
cairnryan;England
calais;France
cambridge;England
camp_verde;Arizona
canfranc;Spain
canterbury;England
cardiff;England
carlisle;England
carlsbad;California
carlsbad_nm;New Mexico
carson_city;Nevada
cassino;Italy
catania;Italy
catanzaro;Italy
cegled;Hungary
chelmsford;England
chernyakh;Russia
chisinau;Russia
cieszyn;Poland
civaux;France
clermont;France
clifton;Arizona
clovis;New Mexico
cluj;Romania
colville;Washington
constanta;Romania
coos_bay;Oregon
craiova;Romania
croydon;England
czluchow;Poland
daugavpils;Latvia
debrecen;Hungary
dijon;France
dombas;Norway
donostia;Spain
dortmund;Germany
douglas;England
dover;England
drammen;Italy
dresden;Germany
dublin;Ireland
duisburg;Germany
dumfries;England
dusseldorf;Germany
dziwnowek;Poland
edinburgh;England
ehrenberg;Arizona
eindhoven;Netherlands
el_centro;California
elblag;Poland
elko;Nevada
ely;Nevada
engels;Russia
erfurt;Germany
esbjerg;Denmark
esbjerg;Denmark
eugene;Oregon
eureka;California
europabr;Russia
everett;Washington
evie;Russia
farmington;New Mexico
felixstowe;England
firenze;Italy
fishguard;England
fjardabyggd;Iceland
flagstaff;Arizona
flensburg;Germany
folkestone;England
forst;Germany
frankfurt;Germany
fraserburgh;England
frederikshv;Germany
fresno;California
ftwilliam;England
furth;Germany
g_canyon_vlg;Arizona
gallup;New Mexico
galway;Ireland
gardermoen;Norway
gavle;Russia
gdansk;Poland
gdynia;Poland
gedser;Denmark
geilo;Norway
geisel;Germany
geneve;Switzerland
genova;Russia
gizycko;Poland
glasgow;England
golfech;France
gomel;Belarus
gorzow;Poland
goteborg;Sweden
grand_coulee;Washington
graz;Austria
grimsby;England
groedig;Austria
groningen;Netherlands
grudziadz;Poland
gulbene;Latvia
